"penalty","temp","cooling","iterations","seed"
"50000","2000","0,998","50000","102"
"50000","2000","0,998","50000","103"
"50000","2000","0,998","100000","101"
"50000","2000","0,998","100000","102"
"50000","2000","0,998","100000","103"
"50000","2000","0,9993","50000","101"
"50000","2000","0,9993","50000","102"
"50000","2000","0,9993","50000","103"
"50000","2000","0,9993","100000","101"
"50000","2000","0,9993","100000","102"
"50000","2000","0,9993","100000","103"
"50000","2000","0,9995","50000","101"
"50000","2000","0,9995","50000","102"
"50000","2000","0,9995","50000","103"
"50000","2000","0,9995","100000","101"
"50000","2000","0,9995","100000","102"
"50000","2000","0,9995","100000","103"
"50000","2000","0,999","50000","101"
"50000","2000","0,999","50000","102"
"50000","2000","0,999","50000","103"
"50000","2000","0,999","100000","101"
"50000","2000","0,999","100000","102"
"50000","2000","0,999","100000","103"
"100000","500","0,998","50000","101"
"100000","500","0,998","50000","102"
"100000","500","0,998","50000","103"
"100000","500","0,998","100000","101"
"100000","500","0,998","100000","102"
"100000","500","0,998","100000","103"
"100000","500","0,9993","50000","101"
"100000","500","0,9993","50000","102"
"100000","500","0,9993","50000","103"
"100000","500","0,9993","100000","101"
"100000","500","0,9993","100000","102"
"100000","500","0,9993","100000","103"
"100000","500","0,9995","50000","101"
"100000","500","0,9995","50000","102"
"100000","500","0,9995","50000","103"
"100000","500","0,9995","100000","101"
"100000","500","0,9995","100000","102"
"100000","500","0,9995","100000","103"
"100000","500","0,999","50000","101"
"100000","500","0,999","50000","102"
"100000","500","0,999","50000","103"
"100000","500","0,999","100000","101"
"100000","500","0,999","100000","102"
"100000","500","0,999","100000","103"
"100000","1000","0,998","50000","101"
"100000","1000","0,998","50000","102"
"100000","1000","0,998","50000","103"
"100000","1000","0,998","100000","101"
"100000","1000","0,998","100000","102"
"100000","1000","0,998","100000","103"
"100000","1000","0,9993","50000","101"
"100000","1000","0,9993","50000","102"
"100000","1000","0,9993","50000","103"
"100000","1000","0,9993","100000","101"
"100000","1000","0,9993","100000","102"
"100000","1000","0,9993","100000","103"
"100000","1000","0,9995","50000","101"
"100000","1000","0,9995","50000","102"
"100000","1000","0,9995","50000","103"
"100000","1000","0,9995","100000","101"
"100000","1000","0,9995","100000","102"
"100000","1000","0,9995","100000","103"
"100000","1000","0,999","50000","101"
"100000","1000","0,999","50000","102"
"100000","1000","0,999","50000","103"
"100000","1000","0,999","100000","101"
"100000","1000","0,999","100000","102"
"100000","1000","0,999","100000","103"
"100000","1250","0,998","50000","101"
"100000","1250","0,998","50000","102"
"100000","1250","0,998","50000","103"
"100000","1250","0,998","100000","101"
"100000","1250","0,998","100000","102"
"100000","1250","0,998","100000","103"
"100000","1250","0,9993","50000","101"
"100000","1250","0,9993","50000","102"
"100000","1250","0,9993","50000","103"
"100000","1250","0,9993","100000","101"
"100000","1250","0,9993","100000","102"
"100000","1250","0,9993","100000","103"
"100000","1250","0,9995","50000","101"
"100000","1250","0,9995","50000","102"
"100000","1250","0,9995","50000","103"
"100000","1250","0,9995","100000","101"
"100000","1250","0,9995","100000","102"
"100000","1250","0,9995","100000","103"
"100000","1250","0,999","50000","101"
"100000","1250","0,999","50000","102"
"100000","1250","0,999","50000","103"
"100000","1250","0,999","100000","101"
"100000","1250","0,999","100000","102"
"100000","1250","0,999","100000","103"
"100000","1500","0,998","50000","101"
"100000","1500","0,998","50000","102"
"100000","1500","0,998","50000","103"
"100000","1500","0,998","100000","101"
"100000","1500","0,998","100000","102"
"100000","1500","0,998","100000","103"
"100000","1500","0,9993","50000","101"
"100000","1500","0,9993","50000","102"
"100000","1500","0,9993","50000","103"
"100000","1500","0,9993","100000","101"
"100000","1500","0,9993","100000","102"
"100000","1500","0,9993","100000","103"
"100000","1500","0,9995","50000","101"
"100000","1500","0,9995","50000","102"
"100000","1500","0,9995","50000","103"
"100000","1500","0,9995","100000","101"
"100000","1500","0,9995","100000","102"
"100000","1500","0,9995","100000","103"
"100000","1500","0,999","50000","101"
"100000","1500","0,999","50000","102"
"100000","1500","0,999","50000","103"
"100000","1500","0,999","100000","101"
"100000","1500","0,999","100000","102"
"100000","1500","0,999","100000","103"
"100000","2000","0,998","50000","101"
"100000","2000","0,998","50000","102"
"100000","2000","0,998","50000","103"
"100000","2000","0,998","100000","101"
"100000","2000","0,998","100000","102"
"100000","2000","0,998","100000","103"
"100000","2000","0,9993","50000","101"
"100000","2000","0,9993","50000","102"
"100000","2000","0,9993","50000","103"
"100000","2000","0,9993","100000","101"
"100000","2000","0,9993","100000","102"
"100000","2000","0,9993","100000","103"
"100000","2000","0,9995","50000","101"
"100000","2000","0,9995","50000","102"
"100000","2000","0,9995","50000","103"
"100000","2000","0,9995","100000","101"
"100000","2000","0,9995","100000","102"
"100000","2000","0,9995","100000","103"
"100000","2000","0,999","50000","101"
"100000","2000","0,999","50000","102"
"100000","2000","0,999","50000","103"
"100000","2000","0,999","100000","101"
"100000","2000","0,999","100000","102"
"100000","2000","0,999","100000","103"
"500000","500","0,998","50000","101"
"500000","500","0,998","50000","102"
"500000","500","0,998","50000","103"
"500000","500","0,998","100000","101"
"500000","500","0,998","100000","102"
"500000","500","0,998","100000","103"
"500000","500","0,9993","50000","101"
"500000","500","0,9993","50000","102"
"500000","500","0,9993","50000","103"
"500000","500","0,9993","100000","101"
"500000","500","0,9993","100000","102"
"500000","500","0,9993","100000","103"
"500000","500","0,9995","50000","101"
"500000","500","0,9995","50000","102"
"500000","500","0,9995","50000","103"
"500000","500","0,9995","100000","101"
"500000","500","0,9995","100000","102"
"500000","500","0,9995","100000","103"
