"timestamp","status","index","total","instance","enforce_time_windows","seed","scenario","algo","message"
"2026-04-23 16:46:20","ok","68","1800","data/data101.vrp","non","45","SA_tuning_T1250_C09993","sa",""
"2026-04-23 16:46:20","ok","69","1800","data/data101.vrp","non","45","SA_tuning_T1250_C09995","sa",""
"2026-04-23 16:46:21","ok","70","1800","data/data101.vrp","non","45","SA_tuning_T1250_C09997","sa",""
"2026-04-23 16:46:21","ok","71","1800","data/data101.vrp","non","45","SA_tuning_T1400_C09995","sa",""
"2026-04-23 17:01:06","ok","72","1800","data/data101.vrp","non","45","TABU_tuning_tenure_40","tabu",""
"2026-04-23 17:05:31","ok","73","1800","data/data101.vrp","non","45","TABU_tuning_tenure_50","tabu",""
"2026-04-23 17:09:55","ok","74","1800","data/data101.vrp","non","45","TABU_tuning_tenure_60","tabu",""
"2026-04-23 17:14:21","ok","75","1800","data/data101.vrp","non","45","TABU_tuning_tenure_70","tabu",""
"2026-04-23 17:14:21","ok","76","1800","data/data101.vrp","non","46","SA_inter_relocate_baseline","sa",""
"2026-04-23 17:14:22","ok","77","1800","data/data101.vrp","non","46","SA_inter_exchange_baseline","sa",""
"2026-04-23 17:14:22","ok","78","1800","data/data101.vrp","non","46","SA_intra_2opt_baseline","sa",""
"2026-04-23 17:18:26","ok","79","1800","data/data101.vrp","non","46","TABU_inter_relocate_baseline","tabu",""
"2026-04-23 17:19:59","ok","80","1800","data/data101.vrp","non","46","TABU_inter_exchange_baseline","tabu",""
"2026-04-23 17:20:11","ok","81","1800","data/data101.vrp","non","46","TABU_intra_2opt_baseline","tabu",""
"2026-04-23 17:20:11","ok","82","1800","data/data101.vrp","non","46","SA_tuning_T1000_C09995","sa",""
"2026-04-23 17:20:12","ok","83","1800","data/data101.vrp","non","46","SA_tuning_T1250_C09993","sa",""
"2026-04-23 17:20:12","ok","84","1800","data/data101.vrp","non","46","SA_tuning_T1250_C09995","sa",""
"2026-04-23 17:20:13","ok","85","1800","data/data101.vrp","non","46","SA_tuning_T1250_C09997","sa",""
"2026-04-23 17:20:13","ok","86","1800","data/data101.vrp","non","46","SA_tuning_T1400_C09995","sa",""
"2026-04-23 17:30:42","ok","87","1800","data/data101.vrp","non","46","TABU_tuning_tenure_40","tabu",""
"2026-04-23 17:34:45","ok","88","1800","data/data101.vrp","non","46","TABU_tuning_tenure_50","tabu",""
