"instance","seed","enforce_time_windows","algo","iterations","neighborhood_family","inter_type","sa_initial_temp","sa_cooling_rate","tabu_tenure","penalty_weight"
"data/data111.vrp","103","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","103","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","103","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","104","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","non","tabu","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","sa","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","sa","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","sa","100000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","tabu","10000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","tabu","30000","inter","relocate","1250","0,9993","40","1000"
"data/data111.vrp","105","oui","tabu","100000","inter","relocate","1250","0,9993","40","1000"
