source_dir,timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,penalty_weight,enforce_time_windows,parameters,feasible
resultsSA/Exp2,2026-04-22 17:18:15,data101.vrp,sa,2039.7155977202644,2039.7155977202644,0.0,0.0,0.0,24,121,30001,1000.0,True,iterations=30000; seed=66571993099; initialTemp=750.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp20,2026-04-23 12:43:35,data101.vrp,sa,1130.493974468733,1130.493974468733,14497.111029820791,0.0,0.0,8,92,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp21,2026-04-23 12:43:35,data101.vrp,sa,1089.2744537054464,1089.2744537054464,13839.825185124842,0.0,0.0,8,96,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp22,2026-04-23 13:30:31,data101.vrp,sa,1064.3987146773889,1064.3987146773889,14525.386918238382,0.0,0.0,8,88,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp23,2026-04-23 13:30:32,data101.vrp,sa,1155.046829724548,1155.046829724548,16378.184036151286,0.0,0.0,8,73,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp24,2026-04-23 13:30:32,data101.vrp,sa,1687.1560384259126,1687.1560384259126,20472.228882099807,0.0,0.0,8,67,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp25,2026-04-23 13:36:59,data101.vrp,sa,1177.836961347339,1177.836961347339,15351.961508609773,0.0,0.0,8,77,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp26,2026-04-23 13:37:00,data101.vrp,sa,999.4822172262672,999.4822172262672,15197.40697470286,0.0,0.0,8,89,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp27,2026-04-23 13:37:00,data101.vrp,sa,1064.3987146773889,1064.3987146773889,14525.386918238382,0.0,0.0,8,87,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp28,2026-04-23 13:37:00,data101.vrp,sa,1100.334997077245,1100.334997077245,15508.283441705826,0.0,0.0,8,114,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp29,2026-04-23 13:37:01,data101.vrp,sa,1028.3339559623064,1028.3339559623064,13523.004279823566,0.0,0.0,8,79,30001,1000.0,False,iterations=30000; seed=66571993100; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp3,2026-04-22 17:18:15,data101.vrp,sa,2001.737056401266,2001.737056401266,0.0,0.0,0.0,25,104,30001,1000.0,True,iterations=30000; seed=66571993099; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp30,2026-04-23 15:56:02,data101.vrp,sa,1034.670888243157,1034.670888243157,15048.457898290291,0.0,0.0,8,77,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp31,2026-04-23 15:56:02,data101.vrp,sa,1565.6509588006768,1565.6509588006768,18874.173269929663,0.0,0.0,8,68,30001,1000.0,False,iterations=30000; seed=66571993101; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
